form_id,trial_id,trial_index,prompt_id,prompt_text,left_image_id,right_image_id,pair_distance
F01,T001,1,P01,Which image feels closer to your past week?,IMG_010,IMG_051,0.5560575509783138
F01,T002,2,P02,Which image feels more familiar right now?,IMG_047,IMG_058,0.6560487786742691
F01,T003,3,P03,Which image would you rather move away from?,IMG_031,IMG_003,0.8657944328765347
F01,T004,4,P04,Which image feels more like the background of your day?,IMG_060,IMG_042,0.7594735018419011
F01,T005,5,P05,Which image feels more emotionally loud?,IMG_042,IMG_058,0.6968500556073739
F01,T006,6,P06,Which image feels more like your current inner weather?,IMG_022,IMG_019,0.500499750249688
F01,T007,7,P07,Which image feels harder to leave?,IMG_023,IMG_010,0.6892024376045112
F01,T008,8,P08,Which image feels more difficult to describe?,IMG_033,IMG_037,0.8544003745317531
F01,T009,9,P01,Which image feels closer to your past week?,IMG_019,IMG_030,0.7960527620704547
F01,T010,10,P02,Which image feels more familiar right now?,IMG_016,IMG_046,0.8096912991998864
F01,T011,11,P03,Which image would you rather move away from?,IMG_025,IMG_033,0.7826237921249264
F01,T012,12,P04,Which image feels more like the background of your day?,IMG_047,IMG_019,0.8791473141629907
F01,T013,13,P05,Which image feels more emotionally loud?,IMG_040,IMG_047,0.5813776741499453
F01,T014,14,P06,Which image feels more like your current inner weather?,IMG_050,IMG_032,0.7963667496825819
F01,T015,15,P07,Which image feels harder to leave?,IMG_011,IMG_026,0.7555792479945436
F01,T016,16,P08,Which image feels more difficult to describe?,IMG_031,IMG_005,0.6033241251599343
F01,T017,17,P09,Which image pulls your attention more?,IMG_060,IMG_016,0.8572047596694735
F01,T018,18,P10,Which image feels more like the last few mornings?,IMG_011,IMG_041,0.6979971346646059
F01,T019,19,P11,Which image feels more like the end of the day?,IMG_047,IMG_016,0.8942035562443263
F01,T020,20,P12,Which image feels more like a place you have been in recently?,IMG_029,IMG_021,0.744983221287567
F01,T021,21,P01,Which image feels closer to your past week?,IMG_004,IMG_050,0.6462197768561405
F01,T022,22,P02,Which image feels more familiar right now?,IMG_038,IMG_013,0.6130252849597642
F01,T023,23,P03,Which image would you rather move away from?,IMG_031,IMG_045,0.8468766143896052
F01,T024,24,P04,Which image feels more like the background of your day?,IMG_033,IMG_039,0.8630179604156568
F01,T025,25,P05,Which image feels more emotionally loud?,IMG_019,IMG_037,0.9518928511129813
F01,T026,26,P06,Which image feels more like your current inner weather?,IMG_006,IMG_040,0.7782030583337488
F01,T027,27,P07,Which image feels harder to leave?,IMG_031,IMG_017,0.6940461079784254
F01,T028,28,P08,Which image feels more difficult to describe?,IMG_050,IMG_047,0.7348469228349535
F01,T029,29,P09,Which image pulls your attention more?,IMG_039,IMG_017,0.81
F01,T030,30,P10,Which image feels more like the last few mornings?,IMG_010,IMG_042,0.6979971346646059
F01,T031,31,P11,Which image feels more like the end of the day?,IMG_038,IMG_016,0.5289612462175277
F01,T032,32,P12,Which image feels more like a place you have been in recently?,IMG_063,IMG_036,0.6443601477434806
F01,T033,33,P01,Which image feels closer to your past week?,IMG_006,IMG_047,0.6890573270780886
F01,T034,34,P02,Which image feels more familiar right now?,IMG_062,IMG_019,0.5341348144429457
F01,T035,35,P03,Which image would you rather move away from?,IMG_029,IMG_048,0.6182232606429493
F01,T036,36,P04,Which image feels more like the background of your day?,IMG_020,IMG_023,0.6293647591023825
F01,T037,37,P05,Which image feels more emotionally loud?,IMG_024,IMG_036,0.9271461589199408
F01,T038,38,P06,Which image feels more like your current inner weather?,IMG_041,IMG_003,0.6406246951218787
F01,T039,39,P07,Which image feels harder to leave?,IMG_045,IMG_007,0.7578918128598566
F01,T040,40,P08,Which image feels more difficult to describe?,IMG_026,IMG_038,0.5738466694161429
F02,T001,1,P01,Which image feels closer to your past week?,IMG_010,IMG_051,0.5560575509783138
F02,T002,2,P02,Which image feels more familiar right now?,IMG_047,IMG_058,0.6560487786742691
F02,T003,3,P03,Which image would you rather move away from?,IMG_031,IMG_003,0.8657944328765347
F02,T004,4,P04,Which image feels more like the background of your day?,IMG_060,IMG_042,0.7594735018419011
F02,T005,5,P05,Which image feels more emotionally loud?,IMG_042,IMG_058,0.6968500556073739
F02,T006,6,P06,Which image feels more like your current inner weather?,IMG_022,IMG_019,0.500499750249688
F02,T007,7,P07,Which image feels harder to leave?,IMG_023,IMG_010,0.6892024376045112
F02,T008,8,P08,Which image feels more difficult to describe?,IMG_033,IMG_037,0.8544003745317531
F02,T009,9,P01,Which image feels closer to your past week?,IMG_027,IMG_007,0.7573638491504595
F02,T010,10,P02,Which image feels more familiar right now?,IMG_055,IMG_007,0.6418722614352484
F02,T011,11,P03,Which image would you rather move away from?,IMG_009,IMG_012,0.6
F02,T012,12,P04,Which image feels more like the background of your day?,IMG_029,IMG_025,0.9114274518577988
