trial_id,left_image_id,right_image_id,trial_index,prompt_id,prompt_text,left_family,left_module,right_family,right_module,pair_group,pair_families,has_anchor,has_blend,has_ambiguous,has_foil,pair_modules,baseline_r,mean_permuted_r,importance_r_drop,baseline_rmse,mean_permuted_rmse,importance_rmse_increase
T007,IMG_023,IMG_010,7,P07,Which image feels harder to leave?,blend,energy,anchor,connection,blend,anchor+blend,True,True,False,False,energy+connection,0.7268777330875346,0.6867998906457377,0.04007784244179691,7.856195898755707,8.32538243618431,0.4691865374286026
T036,IMG_004,IMG_055,36,P04,Which image feels more like the background of your day?,anchor,energy,foil,connection,foil,anchor+foil,True,False,False,True,energy+connection,0.7268777330875346,0.6937988045880086,0.033078928499525984,7.856195898755707,8.229604680098806,0.37340878134309907
T022,IMG_034,IMG_009,22,P02,Which image feels more familiar right now?,blend,clarity,anchor,connection,blend,anchor+blend,True,True,False,False,clarity+connection,0.7268777330875346,0.699237314272874,0.027640418814660506,7.856195898755707,8.170817243726853,0.3146213449711466
T001,IMG_051,IMG_010,1,P01,Which image feels closer to your past week?,ambiguous,connection,anchor,connection,ambiguous,ambiguous+anchor,True,False,True,False,connection+connection,0.7268777330875346,0.6992724941551479,0.027605238932386644,7.856195898755707,8.202095349845631,0.3458994510899247
T026,IMG_030,IMG_005,26,P07,Which image feels harder to leave?,blend,clarity,anchor,clarity,blend,anchor+blend,True,True,False,False,clarity+clarity,0.7268777330875346,0.7007644066861479,0.02611332640138664,7.856195898755707,8.176492957393991,0.3202970586382845
T018,IMG_040,IMG_029,18,P10,Which image feels more like the last few mornings?,blend,burden,blend,clarity,blend,blend,False,True,False,False,burden+clarity,0.7268777330875346,0.7020041676182609,0.024873565469273662,7.856195898755707,8.145508588399384,0.28931268964367707
T031,IMG_037,IMG_025,31,P11,Which image feels more like the end of the day?,blend,connection,blend,energy,blend,blend,False,True,False,False,connection+energy,0.7268777330875346,0.7027801352904794,0.024097597797055115,7.856195898755707,8.149676322435607,0.2934804236798998
T020,IMG_004,IMG_038,20,P12,Which image feels more like a place you have been in recently?,anchor,energy,blend,connection,blend,anchor+blend,True,True,False,False,energy+connection,0.7268777330875346,0.7035536875576778,0.023324045529856785,7.856195898755707,8.112066972294818,0.25587107353911076
T028,IMG_036,IMG_009,28,P08,Which image feels more difficult to describe?,blend,burden,anchor,connection,blend,anchor+blend,True,True,False,False,burden+connection,0.7268777330875346,0.7040425183395058,0.022835214748028743,7.856195898755707,8.136540979103648,0.28034508034794126
T021,IMG_024,IMG_014,21,P01,Which image feels closer to your past week?,blend,connection,anchor,burden,blend,anchor+blend,True,True,False,False,connection+burden,0.7268777330875346,0.7046529431366907,0.02222478995084387,7.856195898755707,8.121105055942069,0.264909157186362
